STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,LABOUR_FORCE_STATUS,Labour force status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2009,,8.481,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2008,,6.73032088911408,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2007,,7.27506938317566,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2006,,7.64628053776002,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2005,,8.52488797872605,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2004,,8.90350578210036,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2023,,10.224,,,,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2022,,11.501,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2021,,13.843,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2020,,15.532,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,GRC,Greece,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2019,,16.526,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2007,,3.32919626700235,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2006,,4.01600647393172,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2005,,4.38149016406608,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2004,,4.10357526069217,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2023,,5.251,,,,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2022,,5.856,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2021,,6.777,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2020,,6.864,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2019,,6.405,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2018,,7.431,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2017,,10.038,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2016,,11.684,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2015,,13.439,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2014,,14.188,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2013,,13.689,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,CYP,Cyprus,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2012,,10.371,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2011,,6.08,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2010,,6.995,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2009,,6.589,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2008,,5.91413175944407,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2007,,6.34421258329931,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2006,,7.00298030812207,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2005,,7.11334129272312,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2004,,7.04511239527445,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2023,,4.656,,,,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2022,,4.686,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2021,,5.313,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2020,,4.838,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2019,,4.648,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2018,,5.196,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2017,,6.188,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2016,,6.889,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,BEL,Belgium,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2015,,7.379,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,ITA,Italy,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2016,,10.175,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,ITA,Italy,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2015,,10.227,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,ITA,Italy,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2014,,10.837,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,ITA,Italy,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2013,,10.39,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,ITA,Italy,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2012,,8.991,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2011,,11.492,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2010,,15.335,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2009,,12.206,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2008,,4.72750261295399,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2007,,4.07021999344587,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2006,,5.34307827054978,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2005,,7.38370267294962,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2004,,8.66913037395462,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2023,,5.661,,,,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2022,,4.723,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2021,,5.635,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2020,,6.031,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2019,,3.987,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2018,,4.81,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,EST,Estonia,UNE_RATE,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_T,Total,Y25T64,From 25 to 64 years,UNE,Unemployment,2017,,5.349,,A,Normal value,,,1,One
