"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2009-Q2","T2-2009",21.431496,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2009-Q4","T4-2009",26.554045,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2009-Q3","T3-2009",22.010909,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2010","2010",27.020784,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2010-Q2","T2-2010",27.658469,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2010-Q1","T1-2010",28.495486,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2010-Q4","T4-2010",27.809572,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2010-Q3","T3-2010",23.915228,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2011","2011",27.108283,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2011-Q1","T1-2011",27.731503,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2011-Q2","T2-2011",24.262442,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2011-Q4","T4-2011",30.94774,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2011-Q3","T3-2011",25.146154,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2012","2012",33.784533,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2012-Q2","T2-2012",33.578689,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2012-Q1","T1-2012",33.291012,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2012-Q4","T4-2012",37.317133,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2012-Q3","T3-2012",30.994315,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2013","2013",38.981411,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2013-Q1","T1-2013",41.236548,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2013-Q2","T2-2013",37.42161,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2013-Q4","T4-2013",40.216387,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2013-Q3","T3-2013",37.001133,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2014","2014",41.29984,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2014-Q2","T2-2014",41.766559,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2014-Q1","T1-2014",44.771906,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2014-Q4","T4-2014",40.328453,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2014-Q3","T3-2014",38.452633,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2015","2015",38.715856,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2015-Q1","T1-2015",42.132449,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2015-Q2","T2-2015",39.773325,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2015-Q4","T4-2015",39.187959,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2015-Q3","T3-2015",33.990461,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2016","2016",36.316784,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2016-Q2","T2-2016",34.978873,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2016-Q1","T1-2016",39.796373,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2016-Q4","T4-2016",38.42797,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2016-Q3","T3-2016",32.094183,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2017","2017",32.863128,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2017-Q1","T1-2017",35.729235,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2017-Q2","T2-2017",33.043649,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2017-Q4","T4-2017",32.47278,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2017-Q3","T3-2017",30.346046,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2018","2018",30.387017,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2018-Q2","T2-2018",29.887536,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2018-Q1","T1-2018",31.274404,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2018-Q4","T4-2018",31.747982,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2018-Q3","T3-2018",28.623279,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2019","2019",27.778004,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2019-Q1","T1-2019",31.468979,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2019-Q2","T2-2019",26.553823,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2019-Q4","T4-2019",27.112923,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2019-Q3","T3-2019",26.058097,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2020","2020",28.357399,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2020-Q2","T2-2020",22.555219,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2020-Q1","T1-2020",28.49492,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2020-Q3","T3-2020",30.432548,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2020-Q4","T4-2020",31.103726,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2021","2021",27.658222,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2022","2022",22.294831,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023","2023",21.083284,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2021-Q1","T1-2021",32.298575,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2021-Q2","T2-2021",27.377538,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2021-Q3","T3-2021",23.814185,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2021-Q4","T4-2021",27.374103,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2022-Q1","T1-2022",23.944243,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2022-Q2","T2-2022",21.904049,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2022-Q3","T3-2022",21.045273,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2022-Q4","T4-2022",22.409624,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q1","T1-2023",21.504532,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q2","T2-2023",20.567988,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q3","T3-2023",20.479328,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2023-Q4","T4-2023",21.798453,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q1","T1-2024",19.918616,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2024-Q2","T2-2024",19.111903,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2004","2004",27.310948,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2004-Q2","T2-2004",28.927354,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2004-Q1","T1-2004",27.5811,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2004-Q4","T4-2004",28.376607,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2004-Q3","T3-2004",24.424972,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2005","2005",27.606126,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2005-Q1","T1-2005",28.60066,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2005-Q2","T2-2005",25.649958,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2005-Q4","T4-2005",27.742998,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2005-Q3","T3-2005",28.383432,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2006","2006",25.461231,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2006-Q2","T2-2006",24.90526,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2006-Q1","T1-2006",28.335586,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2006-Q4","T4-2006",26.458794,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2006-Q3","T3-2006",21.817469,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2007","2007",23.342217,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2007-Q1","T1-2007",23.514904,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2007-Q2","T2-2007",20.850008,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2007-Q4","T4-2007",26.638188,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2007-Q3","T3-2007",22.282077,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2008","2008",24.682553,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2008-Q2","T2-2008",24.96681,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2008-Q1","T1-2008",24.840614,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2008-Q4","T4-2008",27.005579,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2008-Q3","T3-2008",21.951388,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2009","2009",28.556727,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2009-Q1","T1-2009",30.158332,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2009-Q2","T2-2009",27.526379,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2009-Q4","T4-2009",30.605707,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2009-Q3","T3-2009",25.781328,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2010","2010",29.436171,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2010-Q2","T2-2010",28.745301,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2010-Q1","T1-2010",29.7813,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2010-Q4","T4-2010",32.729746,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2010-Q3","T3-2010",26.255816,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2011","2011",32.159629,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2011-Q1","T1-2011",32.915688,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2011-Q2","T2-2011",32.685499,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2011-Q4","T4-2011",34.441051,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2011-Q3","T3-2011",28.340963,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2012","2012",37.57036,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2012-Q2","T2-2012",35.626684,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2012-Q1","T1-2012",39.095754,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2012-Q4","T4-2012",41.372152,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2012-Q3","T3-2012",33.97816,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2013","2013",41.409708,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2013-Q1","T1-2013",42.606933,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2013-Q2","T2-2013",37.134154,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2013-Q4","T4-2013",47.806955,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2013-Q3","T3-2013",37.737145,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2014","2014",44.591664,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2014-Q2","T2-2014",41.464417,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2014-Q1","T1-2014",48.447521,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2014-Q4","T4-2014",47.429124,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2014-Q3","T3-2014",41.019174,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2015","2015",42.595323,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2015-Q1","T1-2015",48.899018,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2015-Q2","T2-2015",42.972541,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2015-Q4","T4-2015",41.137476,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2015-Q3","T3-2015",37.19127,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2016","2016",39.574076,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2016-Q2","T2-2016",36.092094,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2016-Q1","T1-2016",40.954688,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2016-Q4","T4-2016",43.734891,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2016-Q3","T3-2016",37.559649,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2017","2017",37.195621,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2017-Q1","T1-2017",39.362127,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2017-Q2","T2-2017",35.549804,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2017-Q4","T4-2017",38.813471,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2017-Q3","T3-2017",35.077595,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2018","2018",34.8647,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2018-Q2","T2-2018",34.095514,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2018-Q1","T1-2018",37.36902,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2018-Q4","T4-2018",37.493412,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2018-Q3","T3-2018",30.204375,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2019","2019",31.147114,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2019-Q1","T1-2019",35.544423,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2019-Q2","T2-2019",30.92407,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2019-Q4","T4-2019",32.467641,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2019-Q3","T3-2019",25.260091,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2020","2020",32.135305,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2020-Q2","T2-2020",28.912825,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2020-Q1","T1-2020",34.0116,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2020-Q3","T3-2020",33.173437,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2020-Q4","T4-2020",31.692326,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2021","2021",32.831951,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2022","2022",25.81487,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023","2023",25.232824,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2021-Q1","T1-2021",38.825632,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2021-Q2","T2-2021",32.606533,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2021-Q3","T3-2021",31.793884,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2021-Q4","T4-2021",28.978304,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2022-Q1","T1-2022",28.993749,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2022-Q2","T2-2022",23.570874,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2022-Q3","T3-2022",24.772965,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2022-Q4","T4-2022",26.060404,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q1","T1-2023",25.534479,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q2","T2-2023",24.489531,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q3","T3-2023",23.542801,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q4","T4-2023",27.283347,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q1","T1-2024",26.780727,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q2","T2-2024",21.898372,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2004","2004",23.563207,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2004-Q2","T2-2004",24.487588,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2004-Q1","T1-2004",23.494424,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2004-Q4","T4-2004",24.858261,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2004-Q3","T3-2004",21.449144,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2005","2005",24.148623,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2005-Q1","T1-2005",25.318197,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2005-Q2","T2-2005",22.878299,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2005-Q4","T4-2005",24.672985,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2005-Q3","T3-2005",23.709309,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2006","2006",21.792254,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2006-Q2","T2-2006",20.81012,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2006-Q1","T1-2006",24.181647,,
